mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_C;param_class_weight;param_l1_ratio;param_max_iter;param_penalty;param_solver;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;std_test_score;rank_test_score
5.922323322296142;0.8406724285899144;0.006957817077636719;0.0006293271703911343;30;balanced;0.45;1000;elasticnet;saga;{'C': 30, 'class_weight': 'balanced', 'l1_ratio': 0.45, 'max_iter': 1000, 'penalty': 'elasticnet', 'solver': 'saga'};0.7455716586151369;0.7785829307568438;0.7568438003220612;0.7326892109500805;0.7439613526570048;0.7515297906602255;0.015542581013866226;7
5.8957325458526615;0.6333804985630634;0.006857490539550782;0.0007059153335253979;30;balanced;0.5;1000;elasticnet;saga;{'C': 30, 'class_weight': 'balanced', 'l1_ratio': 0.5, 'max_iter': 1000, 'penalty': 'elasticnet', 'solver': 'saga'};0.7455716586151369;0.7785829307568438;0.7568438003220612;0.7326892109500805;0.7439613526570048;0.7515297906602255;0.015542581013866226;7
6.008847999572754;1.1094431778540297;0.006897354125976562;0.001198463550966127;30;{0: 1, 1: 1.04};0.45;1000;elasticnet;saga;{'C': 30, 'class_weight': {0: 1, 1: 1.04}, 'l1_ratio': 0.45, 'max_iter': 1000, 'penalty': 'elasticnet', 'solver': 'saga'};0.7552334943639292;0.7866344605475041;0.7648953301127214;0.7383252818035426;0.7544283413848631;0.7599033816425121;0.015854768586341546;1
5.191142559051514;0.22337596140225233;0.006115865707397461;0.0008050432350931834;30;{0: 1, 1: 1.04};0.5;1000;elasticnet;saga;{'C': 30, 'class_weight': {0: 1, 1: 1.04}, 'l1_ratio': 0.5, 'max_iter': 1000, 'penalty': 'elasticnet', 'solver': 'saga'};0.7552334943639292;0.7866344605475041;0.7648953301127214;0.7375201288244766;0.7544283413848631;0.7597423510466988;0.016075661071469714;2
5.449402904510498;0.1496626832281534;0.007784557342529297;0.003383362737101276;35;balanced;0.45;1000;elasticnet;saga;{'C': 35, 'class_weight': 'balanced', 'l1_ratio': 0.45, 'max_iter': 1000, 'penalty': 'elasticnet', 'solver': 'saga'};0.7455716586151369;0.7785829307568438;0.7568438003220612;0.7326892109500805;0.7439613526570048;0.7515297906602255;0.015542581013866226;7
5.217622947692871;0.0503024493693016;0.006124734878540039;0.000634496498110175;35;balanced;0.5;1000;elasticnet;saga;{'C': 35, 'class_weight': 'balanced', 'l1_ratio': 0.5, 'max_iter': 1000, 'penalty': 'elasticnet', 'solver': 'saga'};0.7455716586151369;0.7785829307568438;0.7568438003220612;0.7326892109500805;0.7439613526570048;0.7515297906602255;0.015542581013866226;7
5.437115859985352;0.21319376336510543;0.010712385177612305;0.005102005085047329;35;{0: 1, 1: 1.04};0.45;1000;elasticnet;saga;{'C': 35, 'class_weight': {0: 1, 1: 1.04}, 'l1_ratio': 0.45, 'max_iter': 1000, 'penalty': 'elasticnet', 'solver': 'saga'};0.7552334943639292;0.7866344605475041;0.7648953301127214;0.7375201288244766;0.7544283413848631;0.7597423510466988;0.016075661071469714;2
5.2703284740448;0.15413894434817937;0.006760883331298828;0.0014012504578708445;35;{0: 1, 1: 1.04};0.5;1000;elasticnet;saga;{'C': 35, 'class_weight': {0: 1, 1: 1.04}, 'l1_ratio': 0.5, 'max_iter': 1000, 'penalty': 'elasticnet', 'solver': 'saga'};0.7552334943639292;0.7866344605475041;0.7648953301127214;0.7375201288244766;0.7544283413848631;0.7597423510466988;0.016075661071469714;2
5.3056927680969235;0.19421121371028036;0.0062406063079833984;0.0008793781693249373;40;balanced;0.45;1000;elasticnet;saga;{'C': 40, 'class_weight': 'balanced', 'l1_ratio': 0.45, 'max_iter': 1000, 'penalty': 'elasticnet', 'solver': 'saga'};0.7455716586151369;0.7785829307568438;0.7568438003220612;0.7326892109500805;0.7439613526570048;0.7515297906602255;0.015542581013866226;7
5.416088581085205;0.12735323161718004;0.006244659423828125;0.0005504086516653299;40;balanced;0.5;1000;elasticnet;saga;{'C': 40, 'class_weight': 'balanced', 'l1_ratio': 0.5, 'max_iter': 1000, 'penalty': 'elasticnet', 'solver': 'saga'};0.7455716586151369;0.7785829307568438;0.7568438003220612;0.7318840579710145;0.7439613526570048;0.7513687600644122;0.0157398655501287;12
5.174986982345581;0.033003090350912485;0.006207704544067383;0.0009284618864807604;40;{0: 1, 1: 1.04};0.45;1000;elasticnet;saga;{'C': 40, 'class_weight': {0: 1, 1: 1.04}, 'l1_ratio': 0.45, 'max_iter': 1000, 'penalty': 'elasticnet', 'solver': 'saga'};0.7552334943639292;0.7866344605475041;0.7648953301127214;0.7375201288244766;0.7544283413848631;0.7597423510466988;0.016075661071469714;2
4.1049376964569095;0.3062666594970236;0.004175806045532226;0.0003311113964844159;40;{0: 1, 1: 1.04};0.5;1000;elasticnet;saga;{'C': 40, 'class_weight': {0: 1, 1: 1.04}, 'l1_ratio': 0.5, 'max_iter': 1000, 'penalty': 'elasticnet', 'solver': 'saga'};0.7552334943639292;0.7866344605475041;0.7648953301127214;0.7375201288244766;0.7544283413848631;0.7597423510466988;0.016075661071469714;2
